,X,RespondentId,Enroll,Employ,Working,Hrs,Age,Ethnicity,Income,Classification,College,Commute,Alone,Dependents,HoH,Live,FedAid,PA,FreqNightElse,UTEPHomeless,Year,HH3,HH4,AD1,AD1a,AD2,AD3,index,Gender,USDAcat,YR_2019,YR_2020,YR_2021,YR_2022,Ethn_Hisp,Ethn_AIAN,Ethn_Asian,Ethn_Black,Ethn_NHPI,Ethn_White,Ethn_Other,Coll_BSN,Coll_EDU,Coll_ENGN,Coll_HS,Coll_LART,Coll_SCI,Coll_NRS,Coll_PHR,Coll_Other,Coll_NA,Gend_F,Gend_M,Gend_T,Gend_NC,Gend_Other,Gend_PNA,Gendercats
27289,NA,95800233,Full-time,Full-time,On campus,More than 19 hours,NA,8,"$10,000 to $19,999",Doctoral,9,Car (someone drives to campus and picks you up),No,1,No,Off campus not with family,Work-study,Yes,NA,No,2022,1,1,1,1,1,0,5,1,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27290,NA,95800238,Full-time,No,NA,NA,2,1,"$20,000 to $29,999",Freshman,8,Carpool (with people from campus),No,2,Yes,On campus,Loans,No,Often,No,2022,1,1,1,1,1,1,6,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27291,NA,95800247,Full-time,No,NA,NA,2,"1, 9","$10,000 to $19,999",Freshman,8,Trolley,No,1,No,On campus,Work-study,No,Rarely,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27292,NA,95800249,Full-time,No,NA,NA,2,"1, 9","$10,000 to $19,999",Sophomore,8,Bus/Public transportation,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27293,NA,95800258,Full-time,Part-time,On campus,19 hours or less,NA,1,"$30,000 to $39,999",Graduate (Masters),4,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Work-study,No,Rarely,No,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27294,NA,95800266,Full-time,Part-time,Off campus,More than 19 hours,NA,1,"Less than $10,000",Junior,2,Car (someone drives to campus and picks you up),Yes,2,Yes,Other,Loans,Yes,NA,No,2022,0,0,1,1,0,0,2,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27295,NA,95800270,Full-time,No,NA,NA,5,1,"Less than $10,000",Junior,8,Car (someone drives to campus and picks you up),Yes,2,Yes,Off campus with partner and kids,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27296,NA,95800271,Part-time,Full-time,Off campus,More than 19 hours,NA,8,"$50,000 to $59,999",Graduate (Masters),8,Uber/Lyft,No,2,Yes,Off campus with partner,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27297,NA,95800273,Full-time,No,NA,NA,4,1,"$10,000 to $19,999",Sophomore,1,Car (someone drives to campus and picks you up),Yes,3,Yes,Off campus not with family,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27298,NA,95800278,Full-time,Part-time,Off campus,19 hours or less,NA,1,"$10,000 to $19,999",Sophomore,4,Car (someone drives to campus and picks you up),No,3,Yes,Other,Loans,Yes,NA,Yes,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27299,NA,95800296,Full-time,Full-time,On campus,More than 19 hours,NA,"8, 13","$10,000 to $19,999",Doctoral,9,Car (someone drives to campus and picks you up),Yes,1,Yes,Off campus not with family,Work-study,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27300,NA,95800297,Part-time,Part-time,Off campus,19 hours or less,NA,11,"$40,000 to $49,999",Senior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,0,1,1,0,0,2,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27301,NA,95800303,Full-time,No,NA,NA,6,1,"$50,000 to $59,999",Senior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,Yes,2022,1,1,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27302,NA,95800313,Part-time,No,NA,NA,2,11,"$70,000 to $79,999",Graduate (Masters),2,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with partner and kids,Loans,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27303,NA,95800318,Full-time,No,NA,NA,2,1,"$50,000 to $59,999",Junior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,Yes,2022,1,1,1,0,1,1,5,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27304,NA,95800336,Full-time,Part-time,On campus,19 hours or less,NA,1,"$10,000 to $19,999",Graduate (Masters),3,Other,No,1,No,Off campus with parents,Work-study,No,Rarely,No,2022,0,1,1,0,1,0,3,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27305,NA,95800341,Full-time,Full-time,On campus,19 hours or less,NA,1,"Less than $10,000",Senior,9,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27306,NA,95800346,Part-time,Part-time,Off campus,19 hours or less,NA,1,"$50,000 to $59,999",Junior,4,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,1,0,0,0,3,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27307,NA,95800348,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Freshman,3,Carpool (with people from campus),No,1,No,On campus,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27308,NA,95800357,Full-time,No,NA,NA,4,1,"Less than $10,000",Graduate (Masters),4,Car (someone drives to campus and picks you up),No,3,Yes,Off campus not with family,Work-study,Yes,NA,No,2022,1,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27309,NA,95800362,Full-time,Full-time,On campus,19 hours or less,NA,8,"Less than $10,000",Doctoral,9,Other,No,1,No,On campus,Work-study,No,Rarely,No,2022,1,1,1,1,1,1,6,2,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Male
27310,NA,95800367,Full-time,No,NA,NA,2,1,"Less than $10,000",Senior,"2, 8",Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27311,NA,95800378,Full-time,Part-time,On campus,19 hours or less,NA,1,"$30,000 to $39,999",Senior,9,Bus/Public transportation,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Male
27312,NA,95800380,Full-time,Part-time,Off campus,More than 19 hours,NA,1,"$40,000 to $49,999",Junior,"2, 8",Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Work-study,No,Rarely,Yes,2022,1,1,1,1,1,1,6,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27313,NA,95800382,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Freshman,9,Car (someone drives to campus and picks you up),No,1,No,On campus,Work-study,Yes,NA,No,2022,1,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27314,NA,95800389,Part-time,Full-time,Off campus,More than 19 hours,NA,12,"$40,000 to $49,999",Senior,8,Car (someone drives to campus and picks you up),Yes,1,Yes,Off campus not with family,Loans,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27315,NA,95800391,Full-time,No,NA,NA,2,1,"Less than $10,000",Freshman,4,Trolley,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,0,0,NA,1,1,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27316,NA,95800393,Full-time,Part-time,On campus,More than 19 hours,NA,8,"$10,000 to $19,999",Doctoral,3,Other,No,2,Yes,Off campus with partner,Work-study,Yes,NA,No,2022,1,1,1,1,1,0,5,2,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27317,NA,95800400,Part-time,Full-time,Off campus,More than 19 hours,NA,13,"$90,000 to $99,999",Graduate (Masters),2,Car (someone drives to campus and picks you up),No,3,Yes,Off campus with partner and kids,Work-study,No,Rarely,No,2022,0,0,0,NA,0,0,NA,6,NA,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Other
27318,NA,95800417,Full-time,Part-time,On campus,19 hours or less,NA,1,"$20,000 to $29,999",Senior,8,Trolley,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27319,NA,95800420,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Sophomore,8,Walk,Yes,1,No,On campus,Loans,Yes,NA,No,2022,1,1,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27320,NA,95800424,Full-time,Part-time,Off campus,More than 19 hours,NA,11,"$10,000 to $19,999",Senior,8,Car (someone drives to campus and picks you up),Yes,1,Yes,Off campus not with family,Work-study,Yes,Rarely,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27321,NA,95800428,Full-time,No,NA,NA,2,13,"$50,000 to $59,999",Sophomore,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27322,NA,95800430,Full-time,Full-time,On campus,More than 19 hours,NA,11,"$20,000 to $29,999",Junior,9,Car (someone drives to campus and picks you up),No,3,No,Off campus with partner and kids,Work-study,Yes,NA,No,2022,1,0,0,NA,0,1,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27323,NA,95800434,Full-time,Part-time,On campus,19 hours or less,NA,11,"$70,000 to $79,999",Freshman,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27324,NA,95800442,Full-time,Part-time,Off campus,More than 19 hours,NA,"1, 11","Less than $10,000",Freshman,9,Car (someone drives to campus and picks you up),No,1,No,Off campus not with family,Loans,Yes,NA,No,2022,1,0,0,NA,0,1,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27325,NA,95800458,Part-time,Part-time,On campus,19 hours or less,NA,1,"$70,000 to $79,999",Senior,8,Bus/Public transportation,No,1,No,Off campus with parents,Work-study,Yes,NA,Yes,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27326,NA,95800462,Full-time,No,NA,NA,3,1,"$30,000 to $39,999",Junior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Loans,Yes,NA,Yes,2022,1,1,1,0,1,1,5,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27327,NA,95800475,Full-time,No,NA,NA,3,11,"$20,000 to $29,999",Senior,5,Car (someone drives to campus and picks you up),No,4,No,Off campus with partner and kids,Emergency Loan,Yes,NA,No,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
27328,NA,95800484,Part-time,Full-time,Off campus,More than 19 hours,NA,1,"Less than $10,000",Junior,1,Car (someone drives to campus and picks you up),Yes,1,Yes,Off campus with parents,Scholarship,Yes,NA,No,2022,1,1,1,1,0,0,4,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27329,NA,95800485,Full-time,Part-time,On campus,19 hours or less,NA,1,"$10,000 to $19,999",Sophomore,9,Bus/Public transportation,No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,0,0,1,0,1,0,2,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27330,NA,95800489,Full-time,Part-time,On campus,More than 19 hours,NA,8,"$10,000 to $19,999",Graduate (Masters),3,Other,Yes,1,No,Off campus not with family,Work-study,No,Rarely,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27331,NA,95800490,Full-time,No,NA,NA,2,1,"Less than $10,000",Junior,8,Bike,No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,1,1,1,0,1,1,5,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27332,NA,95800492,Full-time,No,NA,NA,3,1,"$50,000 to $59,999",Senior,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,1,1,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27333,NA,95800498,Full-time,No,NA,NA,2,1,"$30,000 to $39,999",Sophomore,3,Bus/Public transportation,No,1,No,Off campus with parents,Work-study,Yes,NA,Yes,2022,1,1,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27334,NA,95800505,Full-time,Part-time,Both,19 hours or less,NA,1,"$20,000 to $29,999",Sophomore,9,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27335,NA,95800516,Full-time,No,NA,NA,4,1,"$40,000 to $49,999",Senior,7,Car (someone drives to campus and picks you up),No,3,No,Off campus with partner,Scholarship,Yes,NA,Yes,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
27336,NA,95800522,Full-time,No,NA,NA,NA,"1, 11","$20,000 to $29,999",Sophomore,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27337,NA,95800540,Full-time,No,NA,NA,2,1,"$100,000 or more",Graduate (Masters),8,Car (someone drives to campus and picks you up),No,1,No,Other,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,6,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Other
27338,NA,95800551,Full-time,Full-time,Both,More than 19 hours,NA,1,"$30,000 to $39,999",Sophomore,7,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Loans,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
27339,NA,95800556,Part-time,Part-time,Off campus,19 hours or less,NA,1,"$50,000 to $59,999",Graduate (Masters),2,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,Yes,2022,1,1,0,NA,1,1,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27340,NA,95800562,Full-time,Part-time,On campus,19 hours or less,NA,1,"$30,000 to $39,999",Sophomore,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Work-study,No,Sometimes,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27341,NA,95800564,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Graduate (Masters),3,Trolley,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,1,1,1,1,6,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27342,NA,95800573,Part-time,No,NA,NA,2,1,"$50,000 to $59,999",Junior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,No,2022,1,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27343,NA,95800584,Full-time,Part-time,Off campus,More than 19 hours,NA,1,"$30,000 to $39,999",Senior,8,Car (someone drives to campus and picks you up),No,2,No,Off campus with partner and kids,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27344,NA,95800590,Full-time,Part-time,On campus,19 hours or less,NA,"1, 11","Less than $10,000",Junior,4,Trolley,No,1,No,On campus,Loans,Yes,NA,No,2022,1,1,1,1,0,0,4,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27345,NA,95800593,Full-time,Part-time,Off campus,More than 19 hours,NA,1,"$10,000 to $19,999",Senior,2,Car (someone drives to campus and picks you up),No,3,Yes,Off campus with parents,Loans,No,Rarely,No,2022,0,1,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27346,NA,95800599,Full-time,Part-time,Off campus,19 hours or less,NA,"1, 11","$40,000 to $49,999",Junior,9,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27347,NA,95800619,Full-time,Part-time,On campus,19 hours or less,NA,1,"$30,000 to $39,999",Junior,3,Bus/Public transportation,No,1,No,Off campus with parents,Scholarship,Yes,NA,Yes,2022,1,1,1,0,1,1,5,6,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Other
27348,NA,95800622,Full-time,Full-time,On campus,19 hours or less,NA,1,"$60,000 to $69,999",Sophomore,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Scholarship,Yes,NA,No,2022,0,1,1,0,1,1,4,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27349,NA,95800623,Full-time,Full-time,Off campus,More than 19 hours,NA,1,"$60,000 to $69,999",Senior,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27350,NA,95800629,Full-time,Part-time,On campus,More than 19 hours,NA,8,"$80,000 to $89,999",Graduate (Masters),9,Bus/Public transportation,No,2,No,Off campus with partner,Work-study,Yes,NA,No,2022,0,0,0,NA,0,0,NA,1,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27351,NA,95800635,Full-time,No,NA,NA,3,13,"Less than $10,000",Senior,9,Bus/Public transportation,No,1,No,Off campus with parents,Loans,Yes,NA,Yes,2022,1,1,0,NA,0,1,NA,6,NA,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Other
27352,NA,95800640,Full-time,No,NA,NA,2,"1, 11","Less than $10,000",Senior,1,Car (someone drives to campus and picks you up),Yes,1,No,Off campus not with family,Emergency Loan,Yes,NA,Yes,2022,1,1,1,1,1,1,6,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27353,NA,95800642,Full-time,Full-time,Off campus,More than 19 hours,NA,1,"$60,000 to $69,999",Senior,4,Car (someone drives to campus and picks you up),No,3,Yes,Off campus with partner and kids,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27354,NA,95800644,Part-time,Full-time,Off campus,19 hours or less,NA,1,"$30,000 to $39,999",Junior,8,Car (someone drives to campus and picks you up),No,2,No,Off campus with partner and kids,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27355,NA,95800645,Full-time,No,NA,NA,NA,1,"Less than $10,000",Senior,1,Car (someone drives to campus and picks you up),No,1,No,On campus,Loans,Yes,NA,Yes,2022,1,1,1,0,1,0,4,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
27356,NA,95800660,Full-time,Full-time,Off campus,More than 19 hours,NA,1,"$40,000 to $49,999",Senior,1,Car (someone drives to campus and picks you up),No,3,Yes,Off campus with partner and kids,Loans,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27357,NA,95800666,Part-time,No,NA,NA,NA,1,"$20,000 to $29,999",Junior,8,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Work-study,Yes,NA,No,2022,1,1,0,NA,0,1,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27358,NA,95800671,Full-time,Part-time,On campus,More than 19 hours,NA,8,"$10,000 to $19,999",Doctoral,8,Other,Yes,3,Yes,Off campus not with family,Work-study,No,Rarely,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male
27359,NA,95800679,Full-time,Full-time,Off campus,More than 19 hours,NA,1,"Less than $10,000",Freshman,2,Trolley,No,1,No,Off campus with parents,Work-study,Yes,NA,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
27360,NA,95800681,Full-time,Full-time,Off campus,More than 19 hours,NA,1,"$10,000 to $19,999",Graduate (Masters),9,Car (someone drives to campus and picks you up),No,1,Yes,Off campus not with family,Work-study,No,Rarely,No,2022,0,0,0,NA,0,0,NA,2,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Male
27361,NA,95800684,Full-time,Part-time,Off campus,More than 19 hours,NA,1,"Less than $10,000",Freshman,9,Bike,No,1,No,Other,Work-study,Yes,NA,No,2022,0,0,1,0,1,0,2,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
27362,NA,95800686,Full-time,Part-time,Off campus,19 hours or less,NA,"1, 11","Less than $10,000",Junior,8,Trolley,No,1,No,Off campus not with family,Loans,No,Often,No,2022,1,1,1,1,1,1,6,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female
27363,NA,95800689,Full-time,No,NA,NA,2,11,"$100,000 or more",Sophomore,2,Carpool (with people from campus),No,1,No,On campus,Loans,Yes,NA,No,2022,0,0,1,0,1,0,2,1,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
